Zone,Population,Date,ConfirmedCasesWeekLater,Origin,NumPassengers,OriginConfirmed,OriginPopulation,ImportedRisk
Austria,9006400,2020-02-03,0,Finland,222.762,1,5540718,0.00004068238437829692
Austria,9006400,2020-02-03,0,France,1595.1060000000002,6,65273512,0.0001477041785405197
Austria,9006400,2020-02-03,0,Germany,12490.119000000013,12,83783945,0.0017974265482233907
Austria,9006400,2020-02-03,0,Greece,638.205,0,10423056,0.0
Austria,9006400,2020-02-03,0,Hungary,381.29699999999997,0,9660350,0.0
Austria,9006400,2020-02-03,0,Ireland,243.9,0,4937796,0.0
Austria,9006400,2020-02-03,0,Italy,2487.779999999999,2,60461828,0.00008276759961147217
Austria,9006400,2020-02-03,0,Kosovo,0,0,1810366,0
Austria,9006400,2020-02-03,0,Latvia,404.874,0,1886202,0.0
Austria,9006400,2020-02-03,0,Lithuania,203.25,0,2722291,0.0
Austria,9006400,2020-02-03,0,Luxembourg,304.875,0,625976,0.0
Austria,9006400,2020-02-03,0,Malta,280.485,0,441539,0.0
Austria,9006400,2020-02-03,0,Moldova,81.3,0,4033963,0.0
Austria,9006400,2020-02-03,0,Montenegro,86.991,0,628062,0.0
Austria,9006400,2020-02-03,0,Netherlands,2908.1009999999997,0,17134873,0.0
Austria,9006400,2020-02-03,0,North Macedonia,162.6,0,2083380,0.0
Austria,9006400,2020-02-03,0,Norway,585.36,0,5421242,0.0
Austria,9006400,2020-02-03,0,Poland,727.6349999999999,0,37846605,0.0
Austria,9006400,2020-02-03,0,Portugal,856.902,0,10196707,0.0
Austria,9006400,2020-02-03,0,Romania,936.576,0,19237682,0.0
Austria,9006400,2020-02-03,0,Serbia,555.279,0,8737370,0.0
Austria,9006400,2020-02-03,0,Slovakia,120.324,0,5459643,0.0
Austria,9006400,2020-02-03,0,Slovenia,1.626,0,2078932,0.0
Austria,9006400,2020-02-03,0,Spain,2056.8900000000003,1,46754783,0.00004456256238233195
Austria,9006400,2020-02-03,0,Sweden,284.55,1,10099270,0.000028468102949489922
Austria,9006400,2020-02-03,0,Switzerland,1924.371,0,8654618,0.0
