,Zone,Date,ConfirmedCases,CasesEstimation,ImportedRisk,ConfirmedCasesWeekLater,Population
875,Hungary,2020-03-12,13,0.3646359547650977,0.3663687505909492,73,9660350
876,Hungary,2020-03-13,19,0.7301465022128244,0.7340426080144717,85,9660350
877,Hungary,2020-03-14,30,0.5772723887852804,0.5827278601429117,103,9660350
878,Hungary,2020-03-15,32,0.8337425603843971,0.8419300262854246,131,9660350
879,Hungary,2020-03-16,39,0.9581532079276058,0.9668392775557162,167,9660350
880,Hungary,2020-03-17,50,0.8900460933593922,0.895782509084002,187,9660350
881,Hungary,2020-03-18,58,0.7589195862425092,0.7660152389564682,226,9660350
882,Hungary,2020-03-19,73,1.0820219454950104,1.0847347186465033,261,9660350
883,Hungary,2020-03-20,85,1.3982056764888715,1.4131350186001734,300,9660350
884,Hungary,2020-03-21,103,1.182540799118591,1.19524434266589,343,9660350
885,Hungary,2020-03-22,131,1.1098246078902099,1.12080107694133,408,9660350
886,Hungary,2020-03-23,167,1.4569958894707509,1.4643595008981667,447,9660350
887,Hungary,2020-03-24,187,1.695072356785183,1.7125444828188447,492,9660350
888,Hungary,2020-03-25,226,1.1729734382272121,1.1829667460866233,525,9660350
889,Hungary,2020-03-26,261,0.595966845253804,0.5957356227740445,585,9660350
890,Hungary,2020-03-27,300,1.2735797888842477,1.2869205154437073,623,9660350
891,Hungary,2020-03-28,343,0.46530913659252254,0.46873352698441123,678,9660350
892,Hungary,2020-03-29,408,0.4436576419546266,0.4480173799818819,733,9660350
893,Hungary,2020-03-30,447,0.7731000769481503,0.7610347184557675,744,9660350
894,Hungary,2020-03-31,492,1.0959419376112867,1.104759636551318,817,9660350
895,Iceland,2020-02-01,0,0.00016135352486905023,0.0001642473176824,0,341250
896,Iceland,2020-02-02,0,0.00019939926696129723,0.0002032777227462,0,341250
897,Iceland,2020-02-03,0,0.00032062999622381775,0.0003259143960808,0,341250
898,Iceland,2020-02-04,0,0.00035303097815298943,0.0003596648955031,0,341250
